channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCCn_0vWsa35jSTRNlX15hzQ,TPM - Top Persian Music,23,4,22,23,سهراب پاکزاد | علیرضا قربانی | فرزاد فرزین | گرشا رضایی,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=high
UCO7rnnjVkPeDutLWuROEzKw,MohsenChavoshiVEVO,16,1,16,16,محسن چاووشی,vevo,trusted,top20_manual_audit_2026-07-10; confidence=high
UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,15,1,14,15,فرزاد فرزین,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCVjt1H4u5z3Ya7_hxHGus6w,Radio Javan,13,1,13,13,ساسی مانکن,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=high
UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,9,1,9,9,سهراب پاکزاد,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,9,1,2,9,علیرضا قربانی,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UC8u6telGfDJ2wd8lSwLoauQ,Persian Music Group,7,2,7,7,فرزاد فرزین | محسن یگانه,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=high
UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,6,1,6,6,سهراب پاکزاد,vevo,trusted,top20_manual_audit_2026-07-10; confidence=high
UCF2LMk6XCzazmPPWrxc7qSg,Mohsen Yeganeh,6,1,6,6,محسن یگانه,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,6,1,6,6,گرشا رضایی,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,6,1,5,6,همایون شجریان,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCAnylXo06Lw_x8swLZhIosg,Hichkas,5,1,1,5,هیچکس,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCjibqVppvIlLK4lbXRsbhhw,Melodifa,4,1,4,2,همایون شجریان,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=medium_high
UCpToffK2aE57CCK_uBCNHyA,Fact Music,3,3,3,3,سهراب پاکزاد | فرزاد فرزین | محسن چاووشی,label_or_distributor,trusted,top20_manual_audit_2026-07-10; confidence=high
UCN73foROjDkwZEKS05z6KHQ,The ZiCord,3,1,3,3,محسن چاووشی,label_or_distributor,trusted,top20_manual_audit_2026-07-10; confidence=high
UCIoXa9CZoDHPao2qnfGU5mg,honarnewsofficial,2,2,2,0,همایون شجریان | گرشا رضایی,media_or_news,excluded,top20_manual_audit_2026-07-10; confidence=high
UC6J32FcpsyYA_JGxrEHPbBQ,Alireza Yazdani,2,2,0,2,علیرضا قربانی | محسن چاووشی,remix_channel,excluded,top20_manual_audit_2026-07-10; confidence=high
UCUR0IBUfM1puV2qa-3m7FWQ,farsiReact,2,2,0,2,محسن یگانه | همایون شجریان,reaction,excluded,top20_manual_audit_2026-07-10; confidence=high
UC7Hs0659Yc82h7Snhjnfd4g,Avang Music,2,1,2,2,ساسی مانکن,label_or_distributor,trusted,top20_manual_audit_2026-07-10; confidence=high
UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,2,1,2,2,محسن چاووشی,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high
UCHgdN_bLmnnuvt6bKn8Uxfw,Sasy - Topic,2,1,2,2,ساسی مانکن,unknown,pending_review,
UCX7iFtn4OnJYNLXyKQsnHGg,MELODIFA CLASSIC,2,1,2,2,همایون شجریان,unknown,pending_review,
UChysexdHBwnvEMDFuKiCUZw,HichkasVEVO,2,1,2,2,هیچکس,unknown,pending_review,
UCoOjmdECYvybtOOKtlwvsAw,RadioActive Zone,2,1,2,0,هیچکس,unknown,pending_review,
UCuGnnvoIOfRfkvYVHzTUWYQ,Persian Media Group,2,1,2,2,فرزاد فرزین,unknown,pending_review,
UC9PxiuAlnUmaAhe52mYeXeQ,Mohammad Fazlali,2,1,0,0,علیرضا قربانی,unknown,pending_review,
UCHZk9MrT3DGWmVqdsj5y0EA,BBC Persian,1,1,1,0,علیرضا قربانی,unknown,pending_review,
UCMPdfQnOy5Vu07j6C141FWQ,PUMP VOD,1,1,1,0,فرزاد فرزین,unknown,pending_review,
UCQlzBlY30F51MXStCS2KfGQ,Parsi Tv,1,1,1,0,محسن یگانه,unknown,pending_review,
UCQngZK1cnqB6C9A11wIPkvQ,Music City | موزیک شهر,1,1,1,1,محسن یگانه,unknown,pending_review,
UCVJZW-tOn3hFgeh0kZpSbjw,Mehdi Kord Art Group,1,1,1,1,محسن یگانه,unknown,pending_review,
UC_xcDPW-ARj59n1qhYaLOqQ,Alireza Ghorbani - Topic,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UCa20QQoV4gaLv9XRki-ynWQ,PUTAK,1,1,1,0,هیچکس,unknown,pending_review,
UCfTyeE7jWJK6q7lTdIUv57w,Anoushiravan Rohani,1,1,1,1,همایون شجریان,unknown,pending_review,
UChLs096B3kOpLYhVK1ldSvg,Khosousi,1,1,1,1,همایون شجریان,unknown,pending_review,
UCkpVRmYsrxg4I8SsTQA2CkA,Masoud Masoumi,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UCmp7UNNvJIkRTd44nC5PR9g,Saeed Afrough,1,1,1,1,گرشا رضایی,unknown,pending_review,
UCobfxWqSORuodnQ5rdNw-bw,Mohsen Yeganeh - Topic,1,1,1,1,محسن یگانه,unknown,pending_review,
UCtS_MyKAEqPJgw-WNPxb5cA,SINAVID,1,1,1,0,هیچکس,unknown,pending_review,
UCtnsBNReKiPjTZoz7qBZDlA,مجله خبری پرایم نیوز,1,1,1,0,ساسی مانکن,unknown,pending_review,
UCtr7DrT-BGQnst11NLCsv_w,Persian Music,1,1,1,1,گرشا رضایی,unknown,pending_review,
UCw5LO6ba1yNC3cps4Zu_1Hg,Mohsen Chavoshi - Topic,1,1,1,1,محسن چاووشی,unknown,pending_review,
UCyGYNC7IQWWmyb_4h8OxElg,Raharecords - رهارکورد,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UC-nWrwyltC2ibR8jp5y9Ucg,Moltafet Therapy,1,1,0,0,هیچکس,unknown,pending_review,
UC-rSD_7jPlK0uD8rlU12B1g,Filimo Medio,1,1,0,0,هیچکس,unknown,pending_review,
UC2Oqki4KiHm8B9Im45WCZHQ,Music melody,1,1,0,0,ساسی مانکن,unknown,pending_review,
UC2zgju7z2H0g9qRmftG_1iA,Sam Gh,1,1,0,0,همایون شجریان,unknown,pending_review,
